word,phonetic,pos,def,example,syn,ant,tags,premium,stub
Abash,,word,Feeling embarrassed or self-conscious.,"She underlined abash while reviewing the ""Embarrass"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Abate,/əˈbeɪt/,verb,Become less intense or widespread.,The team hoped the policy would abate the problem over time.,"subside,diminish","intensify,increase",GRE|GMAT,false,false
Abdicate,,verb,"Give up, abandon, or stop pursuing something.","She underlined abdicate while reviewing the ""Give up"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Aberration,/ˌæb.əˈreɪ.ʃən/,noun,A departure from what is normal.,The essay turned on the aberration introduced in the opening paragraph.,"anomaly,deviation","norm,standard",GRE,false,false
Abeyance,,noun,"A temporary pause, break, or gap in continuity.","In the ""Interval / pause"" word cluster, abeyance helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Abide,,word,"A temporary pause, break, or gap in continuity.","She underlined abide while reviewing the ""Break a rule"" group in her notes.",,opposite cluster,GRE|GMAT|IELTS,false,false
Abound,,word,A vocabulary term from the group: Excess.,"She underlined abound while reviewing the ""Excess"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Abridge,,word,A vocabulary term from the group: Speak less / few words.,"He tends to abridge when nervous, filling every pause in conversation.",,,GRE|GMAT|IELTS,false,false
Absolute,,word,A vocabulary term from the group: Dominating (−).,"She underlined absolute while reviewing the ""Dominating (−)"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Abstract,,word,A vocabulary term from the group: Difficult to understand (−).,"In the ""Difficult to understand (−)"" word cluster, abstract helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Abstruse,/əbˈstruːs/,adjective,Difficult to understand.,"In context, the word abstruse means difficult to understand.","arcane,complex","obvious,clear",GRE,false,false
Absurd,,word,A vocabulary term from the group: Illogical / strange.,"She underlined absurd while reviewing the ""Illogical / strange"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Accede,,verb,To act in a way related to the idea of: Accept / agree / give in.,"She underlined accede while reviewing the ""Accept / agree / give in"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Accelerate,,verb,To act in a way related to the idea of: Activate / speed up.,"She underlined accelerate while reviewing the ""Activate / speed up"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Accentuate,,verb,To act in a way related to the idea of: Emphasize.,"She underlined accentuate while reviewing the ""Emphasize"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Acclaim,,word,Expressing praise or admiration.,Colleagues acclaim her calm leadership during the merger.,,,GRE|GMAT|IELTS,false,false
Accolade,/ˈæk.ə.leɪd/,noun,An award or privilege granted.,Understanding the accolade helps you grasp the author's argument.,"honor,praise","criticism,rebuke",GRE|GMAT,false,false
Accomplishment,,noun,"A person, thing, or quality related to: Achievement / success.","She underlined accomplishment while reviewing the ""Achievement / success"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Accord,,word,A vocabulary term from the group: Agreement / harmony.,"In the ""Agreement / harmony"" word cluster, accord helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Accretion,,noun,"Greater in size, amount, or intensity.",Small savings can accretion quickly when invested with discipline.,,,GRE|GMAT|IELTS,false,false
Accustomed,,word,A vocabulary term from the group: Used to.,"In the ""Used to"" word cluster, accustomed helps you spot synonyms on test day.",,,GRE|GMAT|IELTS,false,false
Acerbic,,adjective,Describing something related to: Harsh / biting / sharp.,"She underlined acerbic while reviewing the ""Harsh / biting / sharp"" group in her notes.",,,GRE|GMAT|IELTS,false,false
Acquiesce,/ˌæk.wiˈes/,verb,Accept reluctantly but without protest.,"In the passage, the author uses acquiesce to mean accept reluctantly but without protest.","comply,submit","resist,object",GRE,false,false
